year,aid,loan
2000-01,5741,4465
2001-02,6011,4524
2002-03,6324,4821
2003-04,6681,5296
2004-05,6782,5553
2005-06,6763,5588
2006-07,6934,5421
2007-08,7163,5637
2008-09,7548,6864
2009-10,9106,7450
2010-11,9921,7466
2011-12,9726,7314
2012-13,10096,6974
2013-14,10415,6740
2014-15,10733,6386
2015-16,11051,6210
2016-17,11106,6007
2017-18,11497,5712
2018-19 ,11565,5342
2019-20 ,11725,5124
2020-21 ,11873,4643
2021-22,11937,4394
2022-23,11718,4170
2023-24 ,11860,3985
2024-25 (est),12080,3790
